title,type,genres,year,Genres1,Genres2,Genres3
Lèolo,movie,"[""Comedy"",""Drama""]",1992,Comedy,Drama,
Memoirs of an Invisible Man,movie,"[""Comedy"",""Romance"",""Sci-Fi""]",1992,Comedy,Romance,Sci-Fi
Mo' Money,movie,"[""Action"",""Comedy"",""Crime""]",1992,Action,Comedy,Crime
Mr. Baseball,movie,"[""Comedy"",""Romance"",""Sport""]",1992,Comedy,Romance,Sport
The Northerners,movie,"[""Comedy""]",1992,Comedy,,
Passion Fish,movie,"[""Drama""]",1992,Drama,,
Pet Sematary II,movie,"[""Action"",""Horror"",""Thriller""]",1992,Action,Horror,Thriller
The Player,movie,"[""Comedy"",""Drama""]",1992,Comedy,Drama,
Pigs,movie,"[""Action"",""Crime"",""Drama""]",1992,Action,Crime,Drama
The Story of Qiu Ju,movie,"[""Comedy"",""Drama""]",1992,Comedy,Drama,
Romper Stomper,movie,"[""Crime"",""Drama""]",1992,Crime,Drama,
Schtonk!,movie,"[""Comedy""]",1992,Comedy,,
Sleepwalkers,movie,"[""Horror""]",1992,Horror,,
Sneakers,movie,"[""Comedy"",""Crime"",""Drama""]",1992,Comedy,Crime,Drama
This Is My Life,movie,"[""Drama""]",1992,Drama,,
Tale of a Vampire,movie,"[""Horror"",""Drama"",""Romance""]",1992,Horror,Drama,Romance
Timebomb,movie,"[""Action"",""Drama"",""Sci-Fi""]",1991,Action,Drama,Sci-Fi
Un Coeur en Hiver,movie,"[""Drama"",""Romance""]",1992,Drama,Romance,
Prime Suspect 3,series,"[""Crime"",""Drama"",""Mystery""]",1993,Crime,Drama,Mystery
12:01,movie,"[""Comedy"",""Sci-Fi"",""Thriller""]",1993,Comedy,Sci-Fi,Thriller
The Act in Question,movie,"[""Drama""]",1993,Drama,,
Belovy,movie,"[""Documentary""]",1994,Documentary,,
The Boys of St. Vincent,movie,"[""Drama""]",1992,Drama,,
Cliffhanger,movie,"[""Action"",""Adventure"",""Thriller""]",1993,Action,Adventure,Thriller
The Dark Half,movie,"[""Horror"",""Mystery""]",1993,Horror,Mystery,
Demolition Man,movie,"[""Action"",""Crime"",""Sci-Fi""]",1993,Action,Crime,Sci-Fi
A Dangerous Woman,movie,"[""Drama"",""Romance""]",1993,Drama,Romance,
Germinal,movie,"[""Drama"",""Romance""]",1993,Drama,Romance,
Gettysburg,movie,"[""Drama"",""History"",""War""]",1993,Drama,History,War
Halbe Welt,movie,"[""Drama"",""Sci-Fi""]",1995,Drama,Sci-Fi,
"Ciao, Professore!",movie,"[""Comedy""]",1992,Comedy,,
Kalifornia,movie,"[""Crime"",""Thriller""]",1993,Crime,Thriller,
The Slingshot,movie,"[""Drama""]",1993,Drama,,
Nowhere to Run,movie,"[""Action"",""Crime"",""Drama""]",1993,Action,Crime,Drama
"Per amore, solo per amore",movie,"[""History""]",1993,History,,
Rapado,movie,"[""Drama""]",1992,Drama,,
Lee Rock,movie,"[""Action"",""Crime"",""Drama""]",1991,Action,Crime,Drama
Zombie and the Ghost Train,movie,"[""Comedy"",""Drama"",""Music""]",1991,Comedy,Drama,Music
The Absence,movie,"[""Drama""]",1992,Drama,,
Alan & Naomi,movie,"[""Drama"",""Family""]",1992,Drama,Family,
Betty,movie,"[""Drama""]",1992,Drama,,
Beethoven,movie,"[""Comedy"",""Drama"",""Family""]",1992,Comedy,Drama,Family
The Bodyguard,movie,"[""Action"",""Drama"",""Music""]",1992,Action,Drama,Music
Children of the Night,movie,"[""Horror""]",1991,Horror,,
Deep Cover,movie,"[""Action"",""Crime"",""Thriller""]",1992,Action,Crime,Thriller
Final Analysis,movie,"[""Drama"",""Romance"",""Thriller""]",1992,Drama,Romance,Thriller
Grave Secrets: The Legacy of Hilltop Drive,movie,"[""Horror"",""Thriller""]",1992,Horror,Thriller,
Hellraiser III: Hell on Earth,movie,"[""Horror""]",1992,Horror,,
I Don't Buy Kisses Anymore,movie,"[""Comedy"",""Romance""]",1992,Comedy,Romance,
The Mambo Kings,movie,"[""Drama"",""Music""]",1992,Drama,Music,
Man Trouble,movie,"[""Comedy"",""Romance""]",1992,Comedy,Romance,
Mr. Saturday Night,movie,"[""Comedy"",""Drama""]",1992,Comedy,Drama,
Of Mice and Men,movie,"[""Drama""]",1992,Drama,,
Radio Flyer,movie,"[""Drama""]",1992,Drama,,
Shining Through,movie,"[""Drama"",""Romance"",""Thriller""]",1992,Drama,Romance,Thriller
Sister Act,movie,"[""Comedy"",""Music""]",1992,Comedy,Music,
The Quince Tree Sun,movie,"[""Documentary"",""Biography"",""Drama""]",1992,Documentary,Biography,Drama
Stay Tuned,movie,"[""Comedy"",""Fantasy""]",1992,Comedy,Fantasy,
Toys,movie,"[""Comedy"",""Drama"",""Family""]",1992,Comedy,Drama,Family
Pushing Hands,movie,"[""Comedy"",""Drama""]",1992,Comedy,Drama,
Unforgiven,movie,"[""Western""]",1992,Western,,
Used People,movie,"[""Comedy"",""Drama"",""Romance""]",1992,Comedy,Drama,Romance
The Journey,movie,"[""Drama"",""History""]",1992,Drama,History,
Once Upon a Time in China II,movie,"[""Action"",""Adventure"",""Biography""]",1992,Action,Adventure,Biography
The Ballad of Little Jo,movie,"[""Drama"",""Romance"",""Western""]",1993,Drama,Romance,Western
Benny & Joon,movie,"[""Comedy"",""Drama"",""Romance""]",1993,Comedy,Drama,Romance
Body Melt,movie,"[""Horror"",""Comedy"",""Sci-Fi""]",1993,Horror,Comedy,Sci-Fi
Coneheads,movie,"[""Comedy"",""Sci-Fi""]",1993,Comedy,Sci-Fi,
The Inheritance or Fuckoffguysgoodday,movie,"[""Comedy""]",1992,Comedy,,
Donersen Islik Cal,movie,"[""Drama""]",1993,Drama,,
Doppelganger,movie,"[""Horror"",""Romance"",""Thriller""]",1993,Horror,Romance,Thriller
Fiorile,movie,"[""Drama""]",1993,Drama,,
The Wedding Banquet,movie,"[""Comedy"",""Drama"",""Romance""]",1993,Comedy,Drama,Romance
Johnny One Hundred Pesos,movie,"[""Crime"",""Drama"",""Thriller""]",1994,Crime,Drama,Thriller
Jason Goes to Hell: The Final Friday,movie,"[""Fantasy"",""Horror"",""Thriller""]",1993,Fantasy,Horror,Thriller
Kids of Survival,movie,"[""Documentary""]",1996,Documentary,,
Life with Mikey,movie,"[""Comedy"",""Family""]",1993,Comedy,Family,
Look Who's Talking Now,movie,"[""Comedy"",""Family"",""Romance""]",1993,Comedy,Family,Romance
Lost in Yonkers,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
Little Buddha,movie,"[""Drama""]",1993,Drama,,
The Man Without a Face,movie,"[""Drama""]",1993,Drama,,
Matinee,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
Posse,movie,"[""Western""]",1993,Western,,
Rudy,movie,"[""Biography"",""Drama"",""Sport""]",1993,Biography,Drama,Sport
Sakali leta,movie,"[""Musical""]",1993,Musical,,
The Saint of Fort Washington,movie,"[""Drama""]",1993,Drama,,
Sista dansen,movie,"[""Drama"",""Thriller""]",1993,Drama,Thriller,
Iron Monkey,movie,"[""Action"",""Crime"",""Drama""]",1993,Action,Crime,Drama
Smoking/No Smoking,movie,"[""Comedy""]",1993,Comedy,,
Rising Sun,movie,"[""Action"",""Crime"",""Drama""]",1993,Action,Crime,Drama
La scorta,movie,"[""Crime"",""Drama"",""Thriller""]",1993,Crime,Drama,Thriller
Skylark,movie,"[""Drama""]",1993,Drama,,
The Legend of the Swordsman,movie,"[""Action"",""Fantasy""]",1992,Action,Fantasy,
The Babe,movie,"[""Biography"",""Drama"",""Sport""]",1992,Biography,Drama,Sport
Dead Alive,movie,"[""Comedy"",""Horror"",""Romance""]",1992,Comedy,Horror,Romance
Dracula,movie,"[""Horror"",""Romance""]",1992,Horror,Romance,
Candyman,movie,"[""Drama"",""Horror"",""Thriller""]",1992,Drama,Horror,Thriller
Como agua para chocolate,movie,"[""Drama"",""Romance""]",1992,Drama,Romance,
A Tale of Winter,movie,"[""Drama""]",1992,Drama,,
Cronos,movie,"[""Horror""]",1993,Horror,,
Dingo,movie,"[""Drama"",""Music""]",1991,Drama,Music,
Encino Man,movie,"[""Comedy""]",1992,Comedy,,
Damage,movie,"[""Drama"",""Romance""]",1992,Drama,Romance,
Guncrazy,movie,"[""Crime"",""Drama"",""Romance""]",1992,Crime,Drama,Romance
The Jar,movie,"[""Drama""]",1992,Drama,,
L.627,movie,"[""Crime"",""Drama"",""Thriller""]",1992,Crime,Drama,Thriller
Lorenzo's Oil,movie,"[""Drama""]",1992,Drama,,
Mac,movie,"[""Drama""]",1992,Drama,,
Maledetto il giorno che t'ho incontrato,movie,"[""Comedy""]",1992,Comedy,,
Newsies,movie,"[""Drama"",""Musical""]",1992,Drama,Musical,
Parenti serpenti,movie,"[""Comedy""]",1992,Comedy,,
Pensavo fosse amore invece era un calesse,movie,"[""Comedy"",""Drama"",""Romance""]",1991,Comedy,Drama,Romance
The Plague,movie,"[""Drama""]",1992,Drama,,
Shadowchaser,movie,"[""Action"",""Sci-Fi""]",1992,Action,Sci-Fi,
Red Rock West,movie,"[""Crime"",""Drama"",""Thriller""]",1993,Crime,Drama,Thriller
Roja,movie,"[""Drama"",""Romance"",""Thriller""]",1992,Drama,Romance,Thriller
Stop! Or My Mom Will Shoot,movie,"[""Action"",""Comedy"",""Romance""]",1992,Action,Comedy,Romance
Tito and Me,movie,"[""Comedy"",""Drama"",""Music""]",1992,Comedy,Drama,Music
Titanica,movie,"[""Documentary""]",1995,Documentary,,
Traces of Red,movie,"[""Crime"",""Drama"",""Mystery""]",1992,Crime,Drama,Mystery
Tom and Jerry: The Movie,movie,"[""Animation"",""Family"",""Musical""]",1992,Animation,Family,Musical
Twist,movie,"[""Documentary"",""History"",""Music""]",1992,Documentary,History,Music
Whispers in the Dark,movie,"[""Drama"",""Mystery"",""Thriller""]",1992,Drama,Mystery,Thriller
Zebrahead,movie,"[""Drama"",""Romance""]",1992,Drama,Romance,
O èltimo Mergulho,movie,"[""Drama""]",1992,Drama,,
Backbeat,movie,"[""Biography"",""Drama"",""Music""]",1994,Biography,Drama,Music
Bad Boy Bubby,movie,"[""Comedy"",""Crime"",""Drama""]",1993,Comedy,Crime,Drama
Beijing za zhong,movie,"[""Drama""]",1993,Drama,,
Beyond Bedlam,movie,"[""Comedy"",""Horror""]",1994,Comedy,Horror,
Blue,movie,"[""Biography"",""Drama""]",1993,Biography,Drama,
Calendar,movie,"[""Comedy"",""Drama"",""Romance""]",1993,Comedy,Drama,Romance
Children of the Corn II: The Final Sacrifice,movie,"[""Horror"",""Thriller""]",1992,Horror,Thriller,
I Don't Want to Talk About It,movie,"[""Drama"",""Romance""]",1993,Drama,Romance,
City Unplugged,movie,"[""Comedy"",""Thriller""]",1993,Comedy,Thriller,
Ed and His Dead Mother,movie,"[""Horror"",""Comedy""]",1993,Horror,Comedy,
The Legend,movie,"[""Action"",""Comedy"",""History""]",1993,Action,Comedy,History
The Fugitive,movie,"[""Action"",""Adventure"",""Crime""]",1993,Action,Adventure,Crime
Groundhog Day,movie,"[""Comedy"",""Romance""]",1993,Comedy,Romance,
Heaven & Earth,movie,"[""Action"",""Biography"",""Drama""]",1993,Action,Biography,Drama
Hocus Pocus,movie,"[""Comedy"",""Family"",""Fantasy""]",1993,Comedy,Family,Fantasy
"Oh, Woe Is Me",movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
In the Name of the Father,movie,"[""Biography"",""Drama"",""History""]",1993,Biography,Drama,History
In the Line of Fire,movie,"[""Action"",""Crime"",""Drama""]",1993,Action,Crime,Drama
Jurassic Park,movie,"[""Adventure"",""Sci-Fi"",""Thriller""]",1993,Adventure,Sci-Fi,Thriller
De kleine blonde dood,movie,"[""Drama""]",1993,Drama,,
M. Butterfly,movie,"[""Drama"",""History"",""Romance""]",1993,Drama,History,Romance
My Favorite Season,movie,"[""Drama""]",1993,Drama,,
Magnificat,movie,"[""Drama"",""History""]",1993,Drama,History,
Mad Dog and Glory,movie,"[""Comedy"",""Crime"",""Drama""]",1993,Comedy,Crime,Drama
Madadayo,movie,"[""Drama""]",1993,Drama,,
Man's Best Friend,movie,"[""Comedy"",""Horror"",""Sci-Fi""]",1993,Comedy,Horror,Sci-Fi
The Making of '...And God Spoke',movie,"[""Comedy""]",1993,Comedy,,
The Scent of Green Papaya,movie,"[""Drama"",""Music"",""Romance""]",1993,Drama,Music,Romance
Return of the Living Dead III,movie,"[""Horror"",""Romance""]",1993,Horror,Romance,
Sister Act 2: Back in the Habit,movie,"[""Comedy"",""Music""]",1993,Comedy,Music,
The Snapper,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
Sleepless in Seattle,movie,"[""Comedy"",""Drama"",""Romance""]",1993,Comedy,Drama,Romance
Son in Law,movie,"[""Comedy"",""Drama"",""Romance""]",1993,Comedy,Drama,Romance
Sopyonje,movie,"[""Musical"",""Drama""]",1993,Musical,Drama,
Stefano Quantestorie,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
Surf Ninjas,movie,"[""Action"",""Adventure"",""Comedy""]",1993,Action,Adventure,Comedy
This Boy's Life,movie,"[""Biography"",""Drama""]",1993,Biography,Drama,
There Goes My Baby,movie,"[""Comedy"",""Drama""]",1994,Comedy,Drama,
Tombstone,movie,"[""Action"",""Drama"",""History""]",1993,Action,Drama,History
Abraham's Valley,movie,"[""Drama""]",1993,Drama,,
Warlock: The Armageddon,movie,"[""Fantasy"",""Horror""]",1993,Fantasy,Horror,
Weekend at Bernie's II,movie,"[""Comedy""]",1993,Comedy,,
Once Upon a Time in China III,movie,"[""Action"",""Adventure"",""Biography""]",1993,Action,Adventure,Biography
Above the Rim,movie,"[""Crime"",""Drama"",""Sport""]",1994,Crime,Drama,Sport
Vive L'Amour,movie,"[""Drama""]",1994,Drama,,
Angels in the Outfield,movie,"[""Comedy"",""Family"",""Fantasy""]",1994,Comedy,Family,Fantasy
Chungking Express,movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
Colonel Chabert,movie,"[""Drama"",""History"",""Romance""]",1994,Drama,History,Romance
The Crow,movie,"[""Action"",""Fantasy""]",1994,Action,Fantasy,
Dragonworld,movie,"[""Adventure"",""Family"",""Fantasy""]",1994,Adventure,Family,Fantasy
Dream Lover,movie,"[""Drama"",""Mystery"",""Thriller""]",1993,Drama,Mystery,Thriller
Dumb & Dumber,movie,"[""Comedy""]",1994,Comedy,,
De Flat,movie,"[""Mystery"",""Romance"",""Thriller""]",1994,Mystery,Romance,Thriller
Freaked,movie,"[""Comedy"",""Sci-Fi""]",1993,Comedy,Sci-Fi,
Fresh,movie,"[""Crime"",""Drama"",""Thriller""]",1994,Crime,Drama,Thriller
The Glass Shield,movie,"[""Crime"",""Drama""]",1994,Crime,Drama,
Highlander: The Final Dimension,movie,"[""Action"",""Fantasy"",""Romance""]",1994,Action,Fantasy,Romance
Immortal Beloved,movie,"[""Biography"",""Drama"",""Music""]",1994,Biography,Drama,Music
It's Pat,movie,"[""Comedy""]",1994,Comedy,,
Junior,movie,"[""Comedy"",""Romance"",""Sci-Fi""]",1994,Comedy,Romance,Sci-Fi
Tout le monde n'a pas eu la chance d'avoir des parents communistes,movie,"[""Comedy""]",1993,Comedy,,
The Vanishing,movie,"[""Drama"",""Horror"",""Mystery""]",1993,Drama,Horror,Mystery
Wayne's World 2,movie,"[""Comedy"",""Music""]",1993,Comedy,Music,
What's Love Got to Do with It,movie,"[""Biography"",""Drama"",""Music""]",1993,Biography,Drama,Music
When a Stranger Calls Back,movie,"[""Horror"",""Thriller""]",1993,Horror,Thriller,
Crime Story,movie,"[""Action"",""Crime"",""Drama""]",1993,Action,Crime,Drama
World War II: When Lions Roared,movie,"[""Drama"",""History"",""War""]",1994,Drama,History,War
"The Beans of Egypt, Maine",movie,"[""Drama""]",1994,Drama,,
Movie Days,movie,"[""Drama""]",1994,Drama,,
Black Beauty,movie,"[""Adventure"",""Drama"",""Family""]",1994,Adventure,Drama,Family
Blue Chips,movie,"[""Drama"",""Sport""]",1994,Drama,Sport,
Blown Away,movie,"[""Action"",""Crime"",""Drama""]",1994,Action,Crime,Drama
The Browning Version,movie,"[""Drama""]",1994,Drama,,
Cabin Boy,movie,"[""Adventure"",""Comedy"",""Romance""]",1994,Adventure,Comedy,Romance
"Corrina, Corrina",movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
Crumb,movie,"[""Documentary"",""Biography"",""Comedy""]",1994,Documentary,Biography,Comedy
Death of a Nation: The Timor Conspiracy,movie,"[""Documentary""]",1994,Documentary,,
Ashes of Time,movie,"[""Action"",""Drama""]",1994,Action,Drama,
Estèria do Gato e da Lua,movie,"[""Short"",""Animation""]",1997,Short,Animation,
The Hudsucker Proxy,movie,"[""Comedy""]",1994,Comedy,,
Hum Aapke Hain Koun...!,movie,"[""Comedy"",""Drama"",""Musical""]",1994,Comedy,Drama,Musical
Jason's Lyric,movie,"[""Crime"",""Drama""]",1994,Crime,Drama,
Super Mario Bros.,movie,"[""Adventure"",""Comedy"",""Family""]",1993,Adventure,Comedy,Family
Three Colors: Blue,movie,"[""Drama"",""Music"",""Mystery""]",1993,Drama,Music,Mystery
"1, 2, 3, Freeze",movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
What's Eating Gilbert Grape,movie,"[""Drama""]",1993,Drama,,
White Wolves: A Cry in the Wild II,movie,"[""Action"",""Adventure"",""Family""]",1993,Action,Adventure,Family
3 Ninjas Kick Back,movie,"[""Family"",""Comedy"",""Action""]",1994,Family,Comedy,Action
Andaz Apna Apna,movie,"[""Comedy"",""Family"",""Romance""]",1994,Comedy,Family,Romance
Bandit Queen,movie,"[""Biography"",""Crime"",""Drama""]",1994,Biography,Crime,Drama
Blink,movie,"[""Crime"",""Drama"",""Mystery""]",1994,Crime,Drama,Mystery
Magic Hunter,movie,"[""Drama"",""Fantasy""]",1994,Drama,Fantasy,
Bullets Over Broadway,movie,"[""Comedy"",""Crime""]",1994,Comedy,Crime,
Casa de Lava,movie,"[""Drama""]",1994,Drama,,
Naked Killer,movie,"[""Action"",""Crime"",""Romance""]",1992,Action,Crime,Romance
The Client,movie,"[""Crime"",""Drama"",""Mystery""]",1994,Crime,Drama,Mystery
Cobb,movie,"[""Biography"",""Drama"",""Sport""]",1994,Biography,Drama,Sport
Color of Night,movie,"[""Drama"",""Mystery"",""Romance""]",1994,Drama,Mystery,Romance
Death Machine,movie,"[""Action"",""Horror"",""Sci-Fi""]",1994,Action,Horror,Sci-Fi
Cemetery Man,movie,"[""Comedy"",""Horror""]",1994,Comedy,Horror,
Disclosure,movie,"[""Drama"",""Thriller""]",1994,Drama,Thriller,
Dolores Claiborne,movie,"[""Crime"",""Drama"",""Mystery""]",1995,Crime,Drama,Mystery
Drengen der gik baglèns,movie,"[""Drama"",""Short""]",1995,Drama,Short,
Ed Wood,movie,"[""Biography"",""Comedy"",""Drama""]",1994,Biography,Comedy,Drama
A Borrowed Life,movie,"[""Drama""]",1994,Drama,,
Under the Domim Tree,movie,"[""Drama""]",1994,Drama,,
Exit to Eden,movie,"[""Comedy"",""Crime"",""Romance""]",1994,Comedy,Crime,Romance
Farinelli,movie,"[""Biography"",""Drama"",""Music""]",1994,Biography,Drama,Music
A Great Day in Harlem,movie,"[""Documentary"",""Music""]",1994,Documentary,Music,
Hand Gun,movie,"[""Action"",""Crime"",""Thriller""]",1994,Action,Crime,Thriller
Interview with the Vampire: The Vampire Chronicles,movie,"[""Drama"",""Fantasy"",""Horror""]",1994,Drama,Fantasy,Horror
Sommersby,movie,"[""Drama"",""Mystery"",""Romance""]",1993,Drama,Mystery,Romance
Strapped,movie,"[""Action"",""Drama""]",1993,Action,Drama,
Sose halunk meg,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
The Substitute,movie,"[""Thriller"",""Drama""]",1993,Thriller,Drama,
Wandering Sagittarius,movie,"[""Romance""]",1993,Romance,,
Whispering Pages,movie,"[""Drama""]",1994,Drama,,
Tirano Banderas,movie,"[""Drama""]",1993,Drama,,
Tout èa... pour èa!,movie,"[""Comedy"",""Crime""]",1993,Comedy,Crime,
Twenty Bucks,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
The War Room,movie,"[""Documentary"",""History""]",1993,Documentary,History,
Alien Nation: Dark Horizon,movie,"[""Sci-Fi"",""Drama""]",1994,Sci-Fi,Drama,
Amateur,movie,"[""Comedy"",""Crime"",""Drama""]",1994,Comedy,Crime,Drama
Andre,movie,"[""Adventure"",""Drama"",""Family""]",1994,Adventure,Drama,Family
Angie,movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
Barcelona,movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
"Car 54, Where Are You?",movie,"[""Comedy""]",1994,Comedy,,
City Slickers II: The Legend of Curly's Gold,movie,"[""Comedy""]",1994,Comedy,,
Death and the Maiden,movie,"[""Drama"",""Mystery"",""Thriller""]",1994,Drama,Mystery,Thriller
A Confucian Confusion,movie,"[""Comedy""]",1994,Comedy,,
Forrest Gump,movie,"[""Drama"",""Romance""]",1994,Drama,Romance,
Federal Hill,movie,"[""Crime"",""Drama""]",1994,Crime,Drama,
The Getaway,movie,"[""Action"",""Adventure"",""Crime""]",1994,Action,Adventure,Crime
I'll Do Anything,movie,"[""Comedy"",""Drama""]",1994,Comedy,Drama,
I Like It Like That,movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
The Temp,movie,"[""Drama"",""Thriller""]",1993,Drama,Thriller,
The Three Musketeers,movie,"[""Action"",""Adventure"",""Comedy""]",1993,Action,Adventure,Comedy
Ty u menya odna,movie,"[""Drama""]",1993,Drama,,
For a Lost Soldier,movie,"[""Drama"",""Romance"",""War""]",1992,Drama,Romance,War
When the Bough Breaks,movie,"[""Drama"",""Thriller""]",1994,Drama,Thriller,
Temptation of a Monk,movie,"[""Adventure"",""Drama"",""Romance""]",1993,Adventure,Drama,Romance
1-900,movie,"[""Romance"",""Drama""]",1994,Romance,Drama,
Amelia Earhart: The Final Flight,movie,"[""Adventure"",""Biography"",""Drama""]",1994,Adventure,Biography,Drama
Clerks,movie,"[""Comedy""]",1994,Comedy,,
L'eau froide,movie,"[""Drama""]",1994,Drama,,
Sunset Riders,movie,"[""Action"",""Adventure"",""Comedy""]",1994,Action,Adventure,Comedy
Lesson Faust,movie,"[""Animation"",""Comedy"",""Drama""]",1994,Animation,Comedy,Drama
Go Fish,movie,"[""Drama"",""Romance""]",1994,Drama,Romance,
The New Legend of Shaolin,movie,"[""Action"",""Adventure"",""Comedy""]",1994,Action,Adventure,Comedy
Intersection,movie,"[""Drama"",""Romance""]",1994,Drama,Romance,
Splitting Heirs,movie,"[""Comedy""]",1993,Comedy,,
Son of the Pink Panther,movie,"[""Comedy""]",1993,Comedy,,
Swing Kids,movie,"[""Drama"",""Music""]",1993,Drama,Music,
Tai-Chi Master,movie,"[""Action"",""Comedy"",""Drama""]",1993,Action,Comedy,Drama
Teenage Mutant Ninja Turtles III,movie,"[""Action"",""Adventure"",""Comedy""]",1993,Action,Adventure,Comedy
True Romance,movie,"[""Crime"",""Drama"",""Thriller""]",1993,Crime,Drama,Thriller
Les visiteurs,movie,"[""Comedy"",""Fantasy"",""Sci-Fi""]",1993,Comedy,Fantasy,Sci-Fi
Scarlett,series,"[""Drama"",""Romance""]",1994,Drama,Romance,
A.P.E.X.,movie,"[""Action"",""Sci-Fi""]",1994,Action,Sci-Fi,
Beverly Hills Cop III,movie,"[""Action"",""Comedy"",""Crime""]",1994,Action,Comedy,Crime
Bang,movie,"[""Crime"",""Drama""]",1995,Crime,Drama,
Cari fottutissimi amici,movie,"[""Comedy""]",1994,Comedy,,
Carmen Miranda: Bananas Is My Business,movie,"[""Documentary"",""Biography"",""Music""]",1995,Documentary,Biography,Music
Dance Me Outside,movie,"[""Comedy"",""Drama""]",1994,Comedy,Drama,
Darr,movie,"[""Drama"",""Mystery"",""Romance""]",1993,Drama,Mystery,Romance
La estrategia del caracol,movie,"[""Comedy"",""Drama""]",1993,Comedy,Drama,
"English, August",movie,"[""Drama"",""Comedy""]",1994,Drama,Comedy,
Floundering,movie,"[""Comedy""]",1994,Comedy,,
Four Weddings and a Funeral,movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
Heads,movie,"[""Comedy"",""Crime""]",1994,Comedy,Crime,
Pom Poko,movie,"[""Animation"",""Comedy"",""Drama""]",1994,Animation,Comedy,Drama
Hoop Dreams,movie,"[""Documentary"",""Drama"",""Sport""]",1994,Documentary,Drama,Sport
Thirty Two Short Films About Glenn Gould,movie,"[""Biography"",""Drama"",""Music""]",1993,Biography,Drama,Music
Where the Rivers Flow North,movie,"[""Drama""]",1993,Drama,,
Baseball,series,"[""Documentary"",""History"",""Sport""]",1994,Documentary,History,Sport
1942: A Love Story,movie,"[""Romance"",""Action"",""Drama""]",1994,Romance,Action,Drama
"The Adventures of Priscilla, Queen of the Desert",movie,"[""Comedy"",""Music"",""Romance""]",1994,Comedy,Music,Romance
Africa: The Serengeti,movie,"[""Documentary"",""Short""]",1994,Documentary,Short,
Attack of the 5 Ft. 2 Women,movie,"[""Comedy""]",1994,Comedy,,
Blue Sky,movie,"[""Drama"",""Romance""]",1994,Drama,Romance,
Crooklyn,movie,"[""Comedy"",""Drama""]",1994,Comedy,Drama,
Fatherland,movie,"[""Drama"",""Fantasy"",""Romance""]",1994,Drama,Fantasy,Romance
Mary Shelley's Frankenstein,movie,"[""Drama"",""Horror"",""Romance""]",1994,Drama,Horror,Romance
The Flintstones,movie,"[""Comedy"",""Family"",""Fantasy""]",1994,Comedy,Family,Fantasy
Getting Even with Dad,movie,"[""Comedy"",""Crime"",""Family""]",1994,Comedy,Crime,Family
Dead Tired,movie,"[""Comedy""]",1994,Comedy,,
From Beijing with Love,movie,"[""Action"",""Comedy"",""Thriller""]",1994,Action,Comedy,Thriller
Heavenly Creatures,movie,"[""Biography"",""Crime"",""Drama""]",1994,Biography,Crime,Drama
Some Folks Call It a Sling Blade,movie,"[""Short"",""Drama"",""Thriller""]",1994,Short,Drama,Thriller
Sud,movie,"[""Drama""]",1993,Drama,,
The Seventh Horse of the Sun,movie,"[""Drama"",""Romance""]",1993,Drama,Romance,
Theremin: An Electronic Odyssey,movie,"[""Documentary"",""Biography"",""History""]",1994,Documentary,Biography,History
Untamed Heart,movie,"[""Comedy"",""Drama"",""Romance""]",1993,Comedy,Drama,Romance
Wittgenstein,movie,"[""Biography"",""Comedy"",""Drama""]",1993,Biography,Comedy,Drama
The Kingdom,series,"[""Comedy"",""Drama"",""Fantasy""]",1994,Comedy,Drama,Fantasy
Ace Ventura: Pet Detective,movie,"[""Comedy""]",1994,Comedy,,
Abraham,series,"[""Adventure"",""Biography"",""Drama""]",1993,Adventure,Biography,Drama
71 Fragments of a Chronology of Chance,movie,"[""Drama""]",1994,Drama,,
Maybe... Maybe Not,movie,"[""Comedy""]",1994,Comedy,,
"Bei kao bei, lian dui lian",movie,"[""Drama""]",1994,Drama,,
Clear and Present Danger,movie,"[""Action"",""Crime"",""Drama""]",1994,Action,Crime,Drama
Country Life,movie,"[""Drama"",""Romance""]",1994,Drama,Romance,
Double Happiness,movie,"[""Drama""]",1994,Drama,,
Exotica,movie,"[""Drama""]",1994,Drama,,
For the Moment,movie,"[""Romance"",""War"",""Drama""]",1993,Romance,War,Drama
Guantanamera,movie,"[""Comedy"",""Drama""]",1995,Comedy,Drama,
Hercules: The Legendary Journeys - Hercules and the Circle of Fire,movie,"[""Fantasy"",""Action"",""Adventure""]",1994,Fantasy,Action,Adventure
The Ride,movie,"[""Comedy"",""Drama"",""Romance""]",1994,Comedy,Drama,Romance
