title,type,genres,year,Genres1,Genres2,Genres3
A Wednesday,movie,"[""Crime"",""Drama"",""Mystery""]",2008,Crime,Drama,Mystery
More Than a Game,movie,"[""Documentary"",""Sport""]",2008,Documentary,Sport,
Kung Fu Panda: Secrets of the Furious Five,movie,"[""Animation"",""Short"",""Action""]",2008,Animation,Short,Action
Harry Brown,movie,"[""Action"",""Crime"",""Drama""]",2009,Action,Crime,Drama
Au revoir Taipei,movie,"[""Comedy"",""Crime"",""Drama""]",2010,Comedy,Crime,Drama
Raajneeti,movie,"[""Action"",""Crime"",""Drama""]",2010,Action,Crime,Drama
Casting By,movie,"[""Documentary""]",2012,Documentary,,
Sons of Perdition,movie,"[""Documentary""]",2010,Documentary,,
The Presence,movie,"[""Drama"",""Horror"",""Thriller""]",2010,Drama,Horror,Thriller
Ticket to Romance,movie,"[""Comedy"",""Romance""]",2008,Comedy,Romance,
Harvest,movie,"[""Drama""]",2010,Drama,,
Fred & Vinnie,movie,"[""Comedy""]",2011,Comedy,,
AM1200,movie,"[""Short"",""Horror""]",2008,Short,Horror,
Sennentuntschi: Curse of the Alps,movie,"[""Horror"",""Mystery""]",2010,Horror,Mystery,
Modern Boy,movie,"[""Drama""]",2008,Drama,,
Stephen Fry in America,series,"[""Documentary""]",2008,Documentary,,
Go for It!,movie,"[""Drama"",""Musical""]",2011,Drama,Musical,
La vida loca,movie,"[""Documentary""]",2008,Documentary,,
Mulan: Rise of a Warrior,movie,"[""Adventure"",""Drama"",""Romance""]",2009,Adventure,Drama,Romance
Our Grand Despair,movie,"[""Drama""]",2011,Drama,,
Did You Hear About the Morgans?,movie,"[""Comedy"",""Drama"",""Romance""]",2009,Comedy,Drama,Romance
Hierro,movie,"[""Mystery"",""Thriller""]",2009,Mystery,Thriller,
30 Days of Night: Dark Days,movie,"[""Horror"",""Thriller""]",2010,Horror,Thriller,
Submarino,movie,"[""Drama""]",2010,Drama,,
Alone,movie,"[""Drama"",""Romance""]",2008,Drama,Romance,
Frozen,movie,"[""Drama"",""Thriller""]",2010,Drama,Thriller,
Happy Ever Afters,movie,"[""Comedy""]",2009,Comedy,,
The Good Life,movie,"[""Drama""]",2008,Drama,,
Gainsbourg: A Heroic Life,movie,"[""Biography"",""Drama"",""Music""]",2010,Biography,Drama,Music
Beast Stalker,movie,"[""Action"",""Thriller""]",2008,Action,Thriller,
Shouting Fire: Stories from the Edge of Free Speech,movie,"[""Documentary""]",2009,Documentary,,
Never Let Me Go,movie,"[""Drama"",""Romance"",""Sci-Fi""]",2010,Drama,Romance,Sci-Fi
